id,text,idx,sec,prev_sec,prev_sent,next_sec,next_sent,label,Comments
4961,"We use different methods to overcome different challenges in this competition task, including the schema disintegration method for the multiple-O-values schema issue in the RE subtask, the multi-task learning method for the SEE subtask, and the Transform-alike decoder for the DEE subtask.",8054601,Conclusions,Conclusions,This paper describes our system to the LIC-2021 multi-format IE task.,Conclusions,Experimental results show that our system is effective and it ranks No.4 on the final test set leader-board of this competition.,NC,
4962,Experimental results show that our system is effective and it ranks No.4 on the final test set leader-board of this competition.,8054602,Conclusions,Conclusions,"We use different methods to overcome different challenges in this competition task, including the schema disintegration method for the multiple-O-values schema issue in the RE subtask, the multi-task learning method for the SEE subtask, and the Transform-alike decoder for the DEE subtask.",Conclusions,"Its F1 scores are 79.887% on DuIE2.0, 85.179% on DuEE1.0, and 70.828% on DuEE-fin respectively. ",POS,
4963,"Its F1 scores are 79.887% on DuIE2.0, 85.179% on DuEE1.0, and 70.828% on DuEE-fin respectively. ",8054603,Conclusions,Conclusions,Experimental results show that our system is effective and it ranks No.4 on the final test set leader-board of this competition.,Conclusions,"However, there is still plenty of room for improvement, and lots of work should be further explored.",POS,
4964,"However, there is still plenty of room for improvement, and lots of work should be further explored.",8054604,Conclusions,Conclusions,"Its F1 scores are 79.887% on DuIE2.0, 85.179% on DuEE1.0, and 70.828% on DuEE-fin respectively. ",Conclusions,"First, in the RE subtask, many triples are not annotated.",NEG,
4965,"First, in the RE subtask, many triples are not annotated.",8054605,Conclusions,Conclusions,"However, there is still plenty of room for improvement, and lots of work should be further explored.",Conclusions,"These triples gives model wrong supervisions, which is very harmful for the performance.",NEG,
4966,"These triples gives model wrong supervisions, which is very harmful for the performance.",8054606,Conclusions,Conclusions,"First, in the RE subtask, many triples are not annotated.",Conclusions,"But this missing annotation issue is still an open issue, and should be further explored.",NEG,
4967,"But this missing annotation issue is still an open issue, and should be further explored.",8054607,Conclusions,Conclusions,"These triples gives model wrong supervisions, which is very harmful for the performance.",Conclusions,"Second, in the DEE subtask, how to process long text is still a challenge that is worthy being further studied.",PROSP,
4968,"Second, in the DEE subtask, how to process long text is still a challenge that is worthy being further studied.",8054608,Conclusions,Conclusions,"But this missing annotation issue is still an open issue, and should be further explored.",Conclusions,"In addition, if two arguments of one event are far away in the given text (either a sentence or a document), it would be difficult to extract them correctly.",PROSP,
4969,"In addition, if two arguments of one event are far away in the given text (either a sentence or a document), it would be difficult to extract them correctly.",8054609,Conclusions,Conclusions,"Second, in the DEE subtask, how to process long text is still a challenge that is worthy being further studied.",Conclusions,This issue also should be well studied in the future.,PROSP,
4970,This issue also should be well studied in the future.,8054610,Conclusions,Conclusions,"In addition, if two arguments of one event are far away in the given text (either a sentence or a document), it would be difficult to extract them correctly.",,,PROSP,
