id,text,doccano_art_id,sentence_id,current_sentence_section,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence,label,Comments
3246,"However, of course, online ASR models [1,2] targeting real-time inference have concerns about performance degradation compared to traditional Copyright 2021 IEEE.",3,7,INTRODUCTION,INTRODUCTION,"In particular, in these days, where the untact service market is rapidly growing due to the recent global outbreak of COVID-19, the importance of providing more realistic services by reducing latency is also growing.",INTRODUCTION,"Published in ICASSP 2021 -2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), scheduled for 6-11 June 2021 in Toronto, Ontario, Canada.",,
3247,"Published in ICASSP 2021 -2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), scheduled for 6-11 June 2021 in Toronto, Ontario, Canada.",3,8,INTRODUCTION,INTRODUCTION,"However, of course, online ASR models [1,2] targeting real-time inference have concerns about performance degradation compared to traditional Copyright 2021 IEEE.",INTRODUCTION,Personal use of this material is permitted.,,
3248,Personal use of this material is permitted.,3,9,INTRODUCTION,INTRODUCTION,"Published in ICASSP 2021 -2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), scheduled for 6-11 June 2021 in Toronto, Ontario, Canada.",INTRODUCTION,"However, permission to reprint/republish this material for advertising or promotional purposes or for creating new collective works for resale or redistribution to servers or lists, or to reuse any copyrighted component of this work in other works, must be obtained from the IEEE.",,
3249,"However, permission to reprint/republish this material for advertising or promotional purposes or for creating new collective works for resale or redistribution to servers or lists, or to reuse any copyrighted component of this work in other works, must be obtained from the IEEE.",3,10,INTRODUCTION,INTRODUCTION,Personal use of this material is permitted.,INTRODUCTION,"Contact: Manager, Copyrights and Permissions / IEEE Service Center / 445 Hoes Lane / P.O.",,
3250,"Contact: Manager, Copyrights and Permissions / IEEE Service Center / 445 Hoes Lane / P.O.",3,11,INTRODUCTION,INTRODUCTION,"However, permission to reprint/republish this material for advertising or promotional purposes or for creating new collective works for resale or redistribution to servers or lists, or to reuse any copyrighted component of this work in other works, must be obtained from the IEEE.",INTRODUCTION,"Box 1331 / Piscataway, NJ 08855-1331, USA.",,
3251,"Box 1331 / Piscataway, NJ 08855-1331, USA.",3,12,INTRODUCTION,INTRODUCTION,"Contact: Manager, Copyrights and Permissions / IEEE Service Center / 445 Hoes Lane / P.O.",INTRODUCTION,Telephone: + Intl.,,
3252,Telephone: + Intl.,3,13,INTRODUCTION,INTRODUCTION,"Box 1331 / Piscataway, NJ 08855-1331, USA.",INTRODUCTION,908-562-3966.,,
3253,908-562-3966.,3,14,INTRODUCTION,INTRODUCTION,Telephone: + Intl.,INTRODUCTION,"DNN-HMM hybrid models with pre-segmented alignments or offline models based on Transformer [3,4], which is the state-of-the-art in many sequence-sequence tasks nowadays.",,
3254,"DNN-HMM hybrid models with pre-segmented alignments or offline models based on Transformer [3,4], which is the state-of-the-art in many sequence-sequence tasks nowadays.",3,15,INTRODUCTION,INTRODUCTION,908-562-3966.,INTRODUCTION,"In order to overcome this performance-delay trade-off, several attempts have been made to learn or find monotonic alignments between source and target via attention mechanism [5,6,7,8,9].",,
3255,"In order to overcome this performance-delay trade-off, several attempts have been made to learn or find monotonic alignments between source and target via attention mechanism [5,6,7,8,9].",3,16,INTRODUCTION,INTRODUCTION,"DNN-HMM hybrid models with pre-segmented alignments or offline models based on Transformer [3,4], which is the state-of-the-art in many sequence-sequence tasks nowadays.",INTRODUCTION,"Especially, Monotonic Attention (MA), and Monotonic Chunkwise Attention (MoChA) [8,9] learn alignments in an end-to-end manner by calculating differentiable expected alignments in training phase and shows comparable performance to models using an offline attention.",,
3256,"Especially, Monotonic Attention (MA), and Monotonic Chunkwise Attention (MoChA) [8,9] learn alignments in an end-to-end manner by calculating differentiable expected alignments in training phase and shows comparable performance to models using an offline attention.",3,17,INTRODUCTION,INTRODUCTION,"In order to overcome this performance-delay trade-off, several attempts have been made to learn or find monotonic alignments between source and target via attention mechanism [5,6,7,8,9].",INTRODUCTION,"Very recently, motivated by the success of Transformer architecture even in ASR [4], direct attempts to make it online by applying these learning alignment strategies to Transformer, not on the traditional RNN based models, are emerging [10,11,12,13].",,
3257,"Very recently, motivated by the success of Transformer architecture even in ASR [4], direct attempts to make it online by applying these learning alignment strategies to Transformer, not on the traditional RNN based models, are emerging [10,11,12,13].",3,18,INTRODUCTION,INTRODUCTION,"Especially, Monotonic Attention (MA), and Monotonic Chunkwise Attention (MoChA) [8,9] learn alignments in an end-to-end manner by calculating differentiable expected alignments in training phase and shows comparable performance to models using an offline attention.",INTRODUCTION,"Among others, Monotonic Multihead Attention (MMA) [14] converts each of multi-heads in Transformer to MA and exploits the diversity of alignments from multiple heads.",,
3258,"Among others, Monotonic Multihead Attention (MMA) [14] converts each of multi-heads in Transformer to MA and exploits the diversity of alignments from multiple heads.",3,19,INTRODUCTION,INTRODUCTION,"Very recently, motivated by the success of Transformer architecture even in ASR [4], direct attempts to make it online by applying these learning alignment strategies to Transformer, not on the traditional RNN based models, are emerging [10,11,12,13].",INTRODUCTION,"In order to resolve the issue of MMA that has to wait for all multi-heads to decode, HeadDrop [15] drops heads stochastically in the training stage.",,
3259,"In order to resolve the issue of MMA that has to wait for all multi-heads to decode, HeadDrop [15] drops heads stochastically in the training stage.",3,20,INTRODUCTION,INTRODUCTION,"Among others, Monotonic Multihead Attention (MMA) [14] converts each of multi-heads in Transformer to MA and exploits the diversity of alignments from multiple heads.",INTRODUCTION,"[15] also proposed to use head-synchronous beam search decoding (HSD) which limits the difference in selection time between the heads in the same layer only in the inference phase, but resulting in the discrepancy between training and inference.",,
3260,"[15] also proposed to use head-synchronous beam search decoding (HSD) which limits the difference in selection time between the heads in the same layer only in the inference phase, but resulting in the discrepancy between training and inference.",3,21,INTRODUCTION,INTRODUCTION,"In order to resolve the issue of MMA that has to wait for all multi-heads to decode, HeadDrop [15] drops heads stochastically in the training stage.",INTRODUCTION,"In this paper, we propose an algorithm, called ""Mutually-Constrained Monotonic Multihead Attention"" (MCMMA), that enables the model to learns alignments along with other heads by modifying expected alignments to consistently bring constrained alignments of the test time to the training time.",,
3261,"In this paper, we propose an algorithm, called ""Mutually-Constrained Monotonic Multihead Attention"" (MCMMA), that enables the model to learns alignments along with other heads by modifying expected alignments to consistently bring constrained alignments of the test time to the training time.",3,22,INTRODUCTION,INTRODUCTION,"[15] also proposed to use head-synchronous beam search decoding (HSD) which limits the difference in selection time between the heads in the same layer only in the inference phase, but resulting in the discrepancy between training and inference.",INTRODUCTION,"By bridging the gap between the training and the test stages, MCMMA effectively improves performance.",,
3262,"By bridging the gap between the training and the test stages, MCMMA effectively improves performance.",3,23,INTRODUCTION,INTRODUCTION,"In this paper, we propose an algorithm, called ""Mutually-Constrained Monotonic Multihead Attention"" (MCMMA), that enables the model to learns alignments along with other heads by modifying expected alignments to consistently bring constrained alignments of the test time to the training time.",PRELIMINARY,"We first review the main components which our model is based on, including monotonic attention, monotonic multihead attention, and HeadDrop with head-synchronous beam search decoding in Subsection 2.1, 2.2, and 2.3, respectively.",,
3263,"We first review the main components which our model is based on, including monotonic attention, monotonic multihead attention, and HeadDrop with head-synchronous beam search decoding in Subsection 2.1, 2.2, and 2.3, respectively.",3,24,PRELIMINARY,INTRODUCTION,"By bridging the gap between the training and the test stages, MCMMA effectively improves performance.",Monotonic Attention,MA [8] is the attention-based encoder-decoder RNN model which is able to learn monotonic alignments in an end-toend manner.,,
3264,MA [8] is the attention-based encoder-decoder RNN model which is able to learn monotonic alignments in an end-toend manner.,3,25,Monotonic Attention,PRELIMINARY,"We first review the main components which our model is based on, including monotonic attention, monotonic multihead attention, and HeadDrop with head-synchronous beam search decoding in Subsection 2.1, 2.2, and 2.3, respectively.",Monotonic Attention,"The encoder processes input sequence x = (x 1 , .",,
3265,"The encoder processes input sequence x = (x 1 , .",3,26,Monotonic Attention,Monotonic Attention,MA [8] is the attention-based encoder-decoder RNN model which is able to learn monotonic alignments in an end-toend manner.,Monotonic Attention,", x T ) to encoder states h = (h 1 , .",,
3266,", x T ) to encoder states h = (h 1 , .",3,27,Monotonic Attention,Monotonic Attention,"The encoder processes input sequence x = (x 1 , .",Monotonic Attention,"At i-th arXiv:2103.14302v1 [cs.CL] 26 Mar 2021 output step, the decoder sequentially inspects encoder states from the last selected one in the previous step and decide whether to take it or not to produce current output.",,
3267,"At i-th arXiv:2103.14302v1 [cs.CL] 26 Mar 2021 output step, the decoder sequentially inspects encoder states from the last selected one in the previous step and decide whether to take it or not to produce current output.",3,28,Monotonic Attention,Monotonic Attention,", x T ) to encoder states h = (h 1 , .",Monotonic Attention,"The probability p i,j to select h j for i-th output is computed as e i,j = MonotonicEnergy (s i-1 , h j ) and p i,j = σ (e i,j ) where s i-1 is a decoder state of (i -1)-th output step.",,
3268,"The probability p i,j to select h j for i-th output is computed as e i,j = MonotonicEnergy (s i-1 , h j ) and p i,j = σ (e i,j ) where s i-1 is a decoder state of (i -1)-th output step.",3,29,Monotonic Attention,Monotonic Attention,"At i-th arXiv:2103.14302v1 [cs.CL] 26 Mar 2021 output step, the decoder sequentially inspects encoder states from the last selected one in the previous step and decide whether to take it or not to produce current output.",Monotonic Attention,"If h j is selected, the RNN decoder takes it as context c i = h j with the previous decoder state s i-1 and output y i-1 to compute current state.",,
3269,"If h j is selected, the RNN decoder takes it as context c i = h j with the previous decoder state s i-1 and output y i-1 to compute current state.",3,30,Monotonic Attention,Monotonic Attention,"The probability p i,j to select h j for i-th output is computed as e i,j = MonotonicEnergy (s i-1 , h j ) and p i,j = σ (e i,j ) where s i-1 is a decoder state of (i -1)-th output step.",Monotonic Attention,"To make alignment learnable in the training phase, a hard selected context above is replaced by a expected context c i = L j=1 α i,j h j , the weighted sum of h with the expected alignment α computed as α i,j = p i,j j k=1 α i-1,k j-1 l=k (1 -p i,l ) .",,
3270,"To make alignment learnable in the training phase, a hard selected context above is replaced by a expected context c i = L j=1 α i,j h j , the weighted sum of h with the expected alignment α computed as α i,j = p i,j j k=1 α i-1,k j-1 l=k (1 -p i,l ) .",3,31,Monotonic Attention,Monotonic Attention,"If h j is selected, the RNN decoder takes it as context c i = h j with the previous decoder state s i-1 and output y i-1 to compute current state.",Monotonic Attention,(1) MoChA [9] extends MA by performing soft attention over fixed-length chunks of encoder states preceding the position chosen by a MA mechanism.,,
3271,(1) MoChA [9] extends MA by performing soft attention over fixed-length chunks of encoder states preceding the position chosen by a MA mechanism.,3,32,Monotonic Attention,Monotonic Attention,"To make alignment learnable in the training phase, a hard selected context above is replaced by a expected context c i = L j=1 α i,j h j , the weighted sum of h with the expected alignment α computed as α i,j = p i,j j k=1 α i-1,k j-1 l=k (1 -p i,l ) .",Monotonic Multihead Attention,MMA [14] applies MA mechanism to Transformer [3] by making each of the multiple heads of decoder-encoder attention learn monotonic alignments as MA.,,
3272,MMA [14] applies MA mechanism to Transformer [3] by making each of the multiple heads of decoder-encoder attention learn monotonic alignments as MA.,3,33,Monotonic Multihead Attention,Monotonic Attention,(1) MoChA [9] extends MA by performing soft attention over fixed-length chunks of encoder states preceding the position chosen by a MA mechanism.,Monotonic Multihead Attention,MMA borrows scaled dot-product operation of Transformer.,,
3273,MMA borrows scaled dot-product operation of Transformer.,3,34,Monotonic Multihead Attention,Monotonic Multihead Attention,MMA [14] applies MA mechanism to Transformer [3] by making each of the multiple heads of decoder-encoder attention learn monotonic alignments as MA.,Monotonic Multihead Attention,"Although MMA leads to considerable improvement in online machine translation, the latency is still high since the model should wait until all heads to select their contexts for every decoding step.",,
3274,"Although MMA leads to considerable improvement in online machine translation, the latency is still high since the model should wait until all heads to select their contexts for every decoding step.",3,35,Monotonic Multihead Attention,Monotonic Multihead Attention,MMA borrows scaled dot-product operation of Transformer.,Monotonic Multihead Attention,"Thus, the authors of [14] proposed to use additional regularization to minimize the variance of expected alignments of all heads to reduce the latency.",,
3275,"Thus, the authors of [14] proposed to use additional regularization to minimize the variance of expected alignments of all heads to reduce the latency.",3,36,Monotonic Multihead Attention,Monotonic Multihead Attention,"Although MMA leads to considerable improvement in online machine translation, the latency is still high since the model should wait until all heads to select their contexts for every decoding step.",Monotonic Multihead Attention,"Nevertheless, this approach does not model the dependency between heads explicitly.",,
3276,"Nevertheless, this approach does not model the dependency between heads explicitly.",3,37,Monotonic Multihead Attention,Monotonic Multihead Attention,"Thus, the authors of [14] proposed to use additional regularization to minimize the variance of expected alignments of all heads to reduce the latency.",HeadDrop and Head-Synchronous Decoding,HeadDrop [15] is the method that drops each head stochastically for each individual to learn alignments correctly.,,
3277,HeadDrop [15] is the method that drops each head stochastically for each individual to learn alignments correctly.,3,38,HeadDrop and Head-Synchronous Decoding,Monotonic Multihead Attention,"Nevertheless, this approach does not model the dependency between heads explicitly.",HeadDrop and Head-Synchronous Decoding,This approach improves boundary coverage and streamability of MMA [15].,,
3278,This approach improves boundary coverage and streamability of MMA [15].,3,39,HeadDrop and Head-Synchronous Decoding,HeadDrop and Head-Synchronous Decoding,HeadDrop [15] is the method that drops each head stochastically for each individual to learn alignments correctly.,HeadDrop and Head-Synchronous Decoding,"Head-synchronous decoding (HSD) [15] is the inference algorithm, where the leftmost head forces slow heads, which fail to choose any frames within waiting time threshold , to choose the rightmost of selected frames.",,
3279,"Head-synchronous decoding (HSD) [15] is the inference algorithm, where the leftmost head forces slow heads, which fail to choose any frames within waiting time threshold , to choose the rightmost of selected frames.",3,40,HeadDrop and Head-Synchronous Decoding,HeadDrop and Head-Synchronous Decoding,This approach improves boundary coverage and streamability of MMA [15].,HeadDrop and Head-Synchronous Decoding,"However, HSD considers alignments of other heads and only at the test phase.",,
3280,"However, HSD considers alignments of other heads and only at the test phase.",3,41,HeadDrop and Head-Synchronous Decoding,HeadDrop and Head-Synchronous Decoding,"Head-synchronous decoding (HSD) [15] is the inference algorithm, where the leftmost head forces slow heads, which fail to choose any frames within waiting time threshold , to choose the rightmost of selected frames.",METHOD,"In this section, we propose the algorithm to learn alignments of MA heads under a constraint of the difference of heads' alignments within each decoder layer.",,
3281,Boundary coverage and streamability [15] is the metric to evaluate whether the model is streamable.,3,82,Relative Latency,Experiment setup,"We utilize 2 CNN blocks for encoder and apply max-pooling with 2-stride after the second CNN block, the fourth, and the eighth layer in AISHELL-1.",Relative Latency,"However, it does not well suit with the MMA mechanism since predicting each output is done when the last head completes the selection.",,
3282,"However, it does not well suit with the MMA mechanism since predicting each output is done when the last head completes the selection.",3,83,Relative Latency,Relative Latency,Boundary coverage and streamability [15] is the metric to evaluate whether the model is streamable.,Relative Latency,"Instead of the above, we utilize the relative latency (ReL) by  We note that ReL is the natural extension of the existing latency metric.",,
3283,"Instead of the above, we utilize the relative latency (ReL) by  We note that ReL is the natural extension of the existing latency metric.",3,84,Relative Latency,Relative Latency,"However, it does not well suit with the MMA mechanism since predicting each output is done when the last head completes the selection.",Relative Latency,[23] provides the utterance-level latency which is the same with ReL when replacing the boundaries produced by the reference model with the gold boundaries in the definition of relative latency.,,
3284,[23] provides the utterance-level latency which is the same with ReL when replacing the boundaries produced by the reference model with the gold boundaries in the definition of relative latency.,3,85,Relative Latency,Relative Latency,"Instead of the above, we utilize the relative latency (ReL) by  We note that ReL is the natural extension of the existing latency metric.",Relative Latency,"However, acquiring the gold boundaries is complicated, so we utilize the boundaries of MMA without HSD as the reference boundaries.",,
3285,"However, acquiring the gold boundaries is complicated, so we utilize the boundaries of MMA without HSD as the reference boundaries.",3,86,Relative Latency,Relative Latency,[23] provides the utterance-level latency which is the same with ReL when replacing the boundaries produced by the reference model with the gold boundaries in the definition of relative latency.,Online ASR Results,We present the results of our approach with baselines in table 1.,,
3286,We present the results of our approach with baselines in table 1.,3,87,Online ASR Results,Relative Latency,"However, acquiring the gold boundaries is complicated, so we utilize the boundaries of MMA without HSD as the reference boundaries.",Online ASR Results,"We train our model with = 10 and = 12 on Librispeech and AISHELL-1, respectively and evaluate it with = 8 to make the setting same with [15].",,
3287,"We train our model with = 10 and = 12 on Librispeech and AISHELL-1, respectively and evaluate it with = 8 to make the setting same with [15].",3,88,Online ASR Results,Online ASR Results,We present the results of our approach with baselines in table 1.,Online ASR Results,Our model shows better performance than the baselines including HeadDrop [15].,,
3288,Our model shows better performance than the baselines including HeadDrop [15].,3,89,Online ASR Results,Online ASR Results,"We train our model with = 10 and = 12 on Librispeech and AISHELL-1, respectively and evaluate it with = 8 to make the setting same with [15].",Online ASR Results,"Especially, we reduce 2.2% of WER than HeadDrop [15] on testother in Librispeech.",,
3289,"Especially, we reduce 2.2% of WER than HeadDrop [15] on testother in Librispeech.",3,90,Online ASR Results,Online ASR Results,Our model shows better performance than the baselines including HeadDrop [15].,Online ASR Results,These results show that training alignments together with other heads' selection time improves the performance.,,
3290,These results show that training alignments together with other heads' selection time improves the performance.,3,91,Online ASR Results,Online ASR Results,"Especially, we reduce 2.2% of WER than HeadDrop [15] on testother in Librispeech.",Online ASR Results,One very interesting and unexpected point we observed in table 1 is that the WER of Transformer is higher than online models (except for MMA) in test-clean experiments.,,
3291,One very interesting and unexpected point we observed in table 1 is that the WER of Transformer is higher than online models (except for MMA) in test-clean experiments.,3,92,Online ASR Results,Online ASR Results,These results show that training alignments together with other heads' selection time improves the performance.,Online ASR Results,We con- jecture that online attention mechanisms are beneficial to exploit locality since they strongly force models to attend small chunks of an input sequence from the training phase.,,
3292,We con- jecture that online attention mechanisms are beneficial to exploit locality since they strongly force models to attend small chunks of an input sequence from the training phase.,3,93,Online ASR Results,Online ASR Results,One very interesting and unexpected point we observed in table 1 is that the WER of Transformer is higher than online models (except for MMA) in test-clean experiments.,Trade-off between Performance and Latency,"We provide trade-off graphs between quality and relative latency in fig 2 through adjusting ∈ {6, 8, 10, 12}, and ∈ {4, 8, 12} in inference time for Librispeech, and AISHELL-1, respectively.",,
3293,"We provide trade-off graphs between quality and relative latency in fig 2 through adjusting ∈ {6, 8, 10, 12}, and ∈ {4, 8, 12} in inference time for Librispeech, and AISHELL-1, respectively.",3,94,Trade-off between Performance and Latency,Online ASR Results,We con- jecture that online attention mechanisms are beneficial to exploit locality since they strongly force models to attend small chunks of an input sequence from the training phase.,Trade-off between Performance and Latency,"To calculate relative latency with time units, we multiply frame-level relative latency by 80ms since the reducing factor of frames is 8 and the shifting size is 10ms.",,
3294,"To calculate relative latency with time units, we multiply frame-level relative latency by 80ms since the reducing factor of frames is 8 and the shifting size is 10ms.",3,95,Trade-off between Performance and Latency,Trade-off between Performance and Latency,"We provide trade-off graphs between quality and relative latency in fig 2 through adjusting ∈ {6, 8, 10, 12}, and ∈ {4, 8, 12} in inference time for Librispeech, and AISHELL-1, respectively.",Trade-off between Performance and Latency,Our model outperforms baselines and is still faster than MMA without HSD even though there are small increases in relative latency compared to HeadDrop except for the case with extremely small text .,,
3295,Our model outperforms baselines and is still faster than MMA without HSD even though there are small increases in relative latency compared to HeadDrop except for the case with extremely small text .,3,96,Trade-off between Performance and Latency,Trade-off between Performance and Latency,"To calculate relative latency with time units, we multiply frame-level relative latency by 80ms since the reducing factor of frames is 8 and the shifting size is 10ms.",Trade-off between Performance and Latency,The performance degradation with small occurs since accessible input information is very limited and training models with small restricts head diversity severely.,,
3296,The performance degradation with small occurs since accessible input information is very limited and training models with small restricts head diversity severely.,3,97,Trade-off between Performance and Latency,Trade-off between Performance and Latency,Our model outperforms baselines and is still faster than MMA without HSD even though there are small increases in relative latency compared to HeadDrop except for the case with extremely small text .,Trade-off between Performance and Latency,"Thus, this result suggests that the practitioners should avoid choosing small .",,
3297,"Thus, this result suggests that the practitioners should avoid choosing small .",3,98,Trade-off between Performance and Latency,Trade-off between Performance and Latency,The performance degradation with small occurs since accessible input information is very limited and training models with small restricts head diversity severely.,CONCLUSION,We suggest the method to learn alignments with considering other heads' alignments by modifying expected alignments for all the heads of each layer to select an input frame within a fixed size window.,,
3298,We suggest the method to learn alignments with considering other heads' alignments by modifying expected alignments for all the heads of each layer to select an input frame within a fixed size window.,3,99,CONCLUSION,Trade-off between Performance and Latency,"Thus, this result suggests that the practitioners should avoid choosing small .",CONCLUSION,Our approach improves performance with only a small increase in latency by regularizing the intra-layer difference of boundaries effectively from the training phase.,,
3299,Our approach improves performance with only a small increase in latency by regularizing the intra-layer difference of boundaries effectively from the training phase.,3,100,CONCLUSION,CONCLUSION,We suggest the method to learn alignments with considering other heads' alignments by modifying expected alignments for all the heads of each layer to select an input frame within a fixed size window.,,,,
3300,  Recurrent neural networks (RNNs) serve as a fundamental building block for many sequence tasks across natural language processing.,6,0,abstract,,,abstract,Recent research has focused on recurrent dropout techniques or custom RNN cells in order to improve performance.,,
3301,Recent research has focused on recurrent dropout techniques or custom RNN cells in order to improve performance.,6,1,abstract,abstract,  Recurrent neural networks (RNNs) serve as a fundamental building block for many sequence tasks across natural language processing.,abstract,Both of these can require substantial modifications to the machine learning model or to the underlying RNN configurations.,,
3302,Both of these can require substantial modifications to the machine learning model or to the underlying RNN configurations.,6,2,abstract,abstract,Recent research has focused on recurrent dropout techniques or custom RNN cells in order to improve performance.,abstract,"We revisit traditional regularization techniques, specifically L2 regularization on RNN activations and slowness regularization over successive hidden states, to improve the performance of RNNs on the task of language modeling.",,
3303,"We revisit traditional regularization techniques, specifically L2 regularization on RNN activations and slowness regularization over successive hidden states, to improve the performance of RNNs on the task of language modeling.",6,3,abstract,abstract,Both of these can require substantial modifications to the machine learning model or to the underlying RNN configurations.,abstract,Both of these techniques require minimal modification to existing RNN architectures and result in performance improvements comparable or superior to more complicated regularization techniques or custom cell architectures.,,
3304,Both of these techniques require minimal modification to existing RNN architectures and result in performance improvements comparable or superior to more complicated regularization techniques or custom cell architectures.,6,4,abstract,abstract,"We revisit traditional regularization techniques, specifically L2 regularization on RNN activations and slowness regularization over successive hidden states, to improve the performance of RNNs on the task of language modeling.",abstract,These regularization techniques can be used without any modification on optimized LSTM implementations such as the NVIDIA cuDNN LSTM.,,
3305,These regularization techniques can be used without any modification on optimized LSTM implementations such as the NVIDIA cuDNN LSTM.,6,5,abstract,abstract,Both of these techniques require minimal modification to existing RNN architectures and result in performance improvements comparable or superior to more complicated regularization techniques or custom cell architectures.,Introduction,The need for effective regularization methods for RNNs has seen extensive focus in recent years.,,
3306,The need for effective regularization methods for RNNs has seen extensive focus in recent years.,6,6,Introduction,abstract,These regularization techniques can be used without any modification on optimized LSTM implementations such as the NVIDIA cuDNN LSTM.,Introduction,"While application of dropout (Srivastava et al., 2014) to the input and output of an RNN has been shown to be effective (Zaremba et al., 2014), dropout is destructive when naively applied to the recurrent connections of an RNN.",,
3307,"While application of dropout (Srivastava et al., 2014) to the input and output of an RNN has been shown to be effective (Zaremba et al., 2014), dropout is destructive when naively applied to the recurrent connections of an RNN.",6,7,Introduction,Introduction,The need for effective regularization methods for RNNs has seen extensive focus in recent years.,Introduction,"When naive dropout is applied to the recurrent connections, it is almost impossible to retain information over long periods of time.",,
3308,"When naive dropout is applied to the recurrent connections, it is almost impossible to retain information over long periods of time.",6,8,Introduction,Introduction,"While application of dropout (Srivastava et al., 2014) to the input and output of an RNN has been shown to be effective (Zaremba et al., 2014), dropout is destructive when naively applied to the recurrent connections of an RNN.",Introduction,"Given this fundamental issue, substantial work has gone into understanding and improving dropout when applied to recurrent connections.",,
3309,"Given this fundamental issue, substantial work has gone into understanding and improving dropout when applied to recurrent connections.",6,9,Introduction,Introduction,"When naive dropout is applied to the recurrent connections, it is almost impossible to retain information over long periods of time.",Introduction,"Of these techniques, which we shall broadly refer to as recurrent dropout, some specific variations have gained popular usage.",,
3310,"Of these techniques, which we shall broadly refer to as recurrent dropout, some specific variations have gained popular usage.",6,10,Introduction,Introduction,"Given this fundamental issue, substantial work has gone into understanding and improving dropout when applied to recurrent connections.",Introduction,"Part of 34 th International Conference on Machine Learning's Workshop on Learning to Generate Natural Language, Sydney, Australia, 2017.",,
3311,"Part of 34 th International Conference on Machine Learning's Workshop on Learning to Generate Natural Language, Sydney, Australia, 2017.",6,11,Introduction,Introduction,"Of these techniques, which we shall broadly refer to as recurrent dropout, some specific variations have gained popular usage.",Introduction,Copyright 2017 by the author(s).,,
3312,Copyright 2017 by the author(s).,6,12,Introduction,Introduction,"Part of 34 th International Conference on Machine Learning's Workshop on Learning to Generate Natural Language, Sydney, Australia, 2017.",Introduction,"Variational RNNs (Gal & Ghahramani, 2016) drop the same network units at each timestep, as opposed to dropping different network units at each timestep.",,
3313,"Variational RNNs (Gal & Ghahramani, 2016) drop the same network units at each timestep, as opposed to dropping different network units at each timestep.",6,13,Introduction,Introduction,Copyright 2017 by the author(s).,Introduction,"By performing dropout on the same units at each timestep, destructive loss of the RNN hidden state is avoided and the same information is masked at each timestep.",,
3314,"By performing dropout on the same units at each timestep, destructive loss of the RNN hidden state is avoided and the same information is masked at each timestep.",6,14,Introduction,Introduction,"Variational RNNs (Gal & Ghahramani, 2016) drop the same network units at each timestep, as opposed to dropping different network units at each timestep.",Introduction,"Rather than dropping units, another tactic is to drop updates to given network units.",,
3315,"Rather than dropping units, another tactic is to drop updates to given network units.",6,15,Introduction,Introduction,"By performing dropout on the same units at each timestep, destructive loss of the RNN hidden state is avoided and the same information is masked at each timestep.",Introduction,Semeniuta et al.,,
3316,Semeniuta et al.,6,16,Introduction,Introduction,"Rather than dropping units, another tactic is to drop updates to given network units.",Introduction,"(2016) perform dropout on the input gate of the LSTM (Hochreiter & Schmidhuber, 1997) but allow the forget gate to discard portions of the existing hidden state.",,
3317,"(2016) perform dropout on the input gate of the LSTM (Hochreiter & Schmidhuber, 1997) but allow the forget gate to discard portions of the existing hidden state.",6,17,Introduction,Introduction,Semeniuta et al.,Introduction,"Zoneout (Krueger et al., 2016) prevents hidden state updates from occurring by setting a randomly selected subset of network unit activations in h t+1 to be equal to the previous activations from h t .",,
3318,"Zoneout (Krueger et al., 2016) prevents hidden state updates from occurring by setting a randomly selected subset of network unit activations in h t+1 to be equal to the previous activations from h t .",6,18,Introduction,Introduction,"(2016) perform dropout on the input gate of the LSTM (Hochreiter & Schmidhuber, 1997) but allow the forget gate to discard portions of the existing hidden state.",Introduction,Both of these act to prevent updates to the hidden state while preserving existing content.,,
3319,Both of these act to prevent updates to the hidden state while preserving existing content.,6,19,Introduction,Introduction,"Zoneout (Krueger et al., 2016) prevents hidden state updates from occurring by setting a randomly selected subset of network unit activations in h t+1 to be equal to the previous activations from h t .",Introduction,"On an extreme end, work has also been done to restrict the recurrent matrices in an RNN in order to limit their computational capacity.",,
3320,"On an extreme end, work has also been done to restrict the recurrent matrices in an RNN in order to limit their computational capacity.",6,20,Introduction,Introduction,Both of these act to prevent updates to the hidden state while preserving existing content.,Introduction,"Some RNN architectures only allow element-wise interactions (Balduzzi & Ghifary, 2016;Bradbury et al., 2016;Seo et al., 2016), removing the recurrent matrix entirely, while others act to restrict the capacity by parameterizing the recurrent matrix (Arjovsky et al., 2016;Wisdom et al., 2016;Jing et al., 2016).",,
3321,"Some RNN architectures only allow element-wise interactions (Balduzzi & Ghifary, 2016;Bradbury et al., 2016;Seo et al., 2016), removing the recurrent matrix entirely, while others act to restrict the capacity by parameterizing the recurrent matrix (Arjovsky et al., 2016;Wisdom et al., 2016;Jing et al., 2016).",6,21,Introduction,Introduction,"On an extreme end, work has also been done to restrict the recurrent matrices in an RNN in order to limit their computational capacity.",Introduction,"Other forms of regularization explicitly act upon activations such as such as batch normalization (Ioffe & Szegedy, 2015), recurrent batch normalization (Cooijmans et al., 2016), and layer normalization (Ba et al., 2016).",,
